Latitude,Longitude,Address
28.5516881,-81.449589,"Orlando Chinatown, West Colonial Drive, 32808, West Colonial Drive, Orlo Vista, FL, United States"
28.5540928,-81.3103277,"Superior Plaza, North Semoran Boulevard, 32807, North Semoran Boulevard, Orlando, FL, United States"
28.3186462,-80.6096432,"Blue Marlin Real Estate, Minutemen Causeway, 32954, Minutemen Causeway, Cocoa Beach, FL, United States"
28.4466207,-81.3953782,"Rocks 'Em Socks, Florida Mall Avenue, 32809, Florida Mall Avenue, Florida, United States"
28.3952447,-80.7048592,"Butler Avenue, 32953, Cocoa, Florida, United States"
28.3574323,-80.6983535,"Sr 520/ N Courtenay Pkwy Northside @ Dennys, East Merritt Island Causeway, 32952, East Merritt Island Causeway, Merritt Island, Florida, United States"
28.5625403,-80.8021555,"Jepson Street, 32780, Titusville, Florida, United States"
28.5156644,-81.4830031,"kekes breakfast cafe, 2433, s hiawassee rd, 32835, s hiawassee rd, Orlando, FL, United States"
28.5294571,-82.5110365,"Ortega Avenue, 34613, Florida, United States"
30.6022003,-87.0813317,"Caroline Street, 32572, Florida, United States"
30.4751138,-87.2072414,"Cordova Mall, Pensacola, Florida, United States"
30.4114155,-87.2768661,"West Gregory Street, 32506, Florida, United States"
30.4843804,-87.1966994,"Tippin Avenue, 32504, Ferry Pass, Florida, United States"
30.4195402,-87.2750294,"Amazing Grace Fellowship, New Warrington Road, 32511, New Warrington Road, FL, United States"
30.4205745,-87.2205794,"Medley Law Firm, 222, West Cervantes Street, 32501, West Cervantes Street, Pensacola, FL, United States"
30.4400312,-86.6366246,"Fort Walton Beach Bowl, Lewis Street, 32547, Lewis Street, Florida, United States"
30.3894809,-86.4826871,"Harbor Boulevard, 32541, Destin, Florida, United States"
30.3952509,-86.5080267,"Palmetto Street, 32541, Destin, Florida, United States"
30.4465015,-86.6042694,"Skipper Avenue, 32547, Florida, United States"
30.4103948,-86.6641094,"Yiota's Greek Deli, 130, West Miracle Strip Parkway, 32569, West Miracle Strip Parkway, Mary Esther, FL, United States"
30.3958096,-86.5070798,"Palmetto Street, 32541, Destin, Florida, United States"
30.4311888,-86.6057862,"Monahan Drive Northeast, 32548, Florida, United States"
30.3841907,-86.3849871,"12815, US Highway 98 West, 32550, US Highway 98 West, Miramar Beach, FL, United States"
30.7584387,-86.5706795,"William T Shaffer Law Group, 146, Woodruff Avenue West, 32536, Woodruff Avenue West, Crestview, FL, United States"
30.23183,-85.8909536,"17226, Panama City Beach Parkway, 32413, Panama City Beach Parkway, Panama City Beach, Florida, United States"
30.1880964,-85.8256255,"Sterling Resorts Grand Panama, 11832, Front Beach Road, 32407, Front Beach Road, Panama City Beach, FL, United States"
30.1596323,-85.7521376,"Beach Liquors, Magnolia Beach Road, 32408, Magnolia Beach Road, Upper Grand Lagoon, Florida, United States"
30.4527493,-84.2801982,"Asian Message, 1003, North Monroe Street, 32319, North Monroe Street, Tallahassee, FL, United States"
30.4524013,-84.280445,"Madame Gypsy's Haus Of Kaos, 931, North Monroe Street, 32303, North Monroe Street, Tallahassee, FL, United States"
30.505536,-84.24778,"Killearn Center Boulevard, 32309, Tallahassee, Florida, United States"
30.4283576,-84.2214073,"Dynasty Nails and Spa, Cay Lane, 32311, Cay Lane, Tallahassee, Florida, United States"
28.6749976,-81.3117605,"Lake Drive, 32707, Winter Springs, Florida, United States"
28.5929202,-81.3766956,"2006, West Fairbanks Avenue, 32789, West Fairbanks Avenue, Winter Park, FL, United States"
28.6040107,-81.3103922,"Aloma Avenue, 32792, Winter Park, Florida, United States"
29.0304818,-81.3037286,"216, North Woodland Boulevard, 32720, North Woodland Boulevard, Deland, FL, United States"
28.8237189,-81.884053,"1318, West North Boulevard, 34748, West North Boulevard, Leesburg, Florida, United States"
29.1970451,-81.0624102,"Mandarin Express, 1700, International Speedway Boulevard, 32114, International Speedway Boulevard, Daytona Beach, FL, United States"
28.4834233,-81.4607549,"Shoppes of Portofino, Vineland Road, 32819, Vineland Road, Orlando, Florida, United States"
28.4513059,-81.3946258,"Party Expo, Sand Lake Road, 32809, Sand Lake Road, Florida, United States"
28.4421507,-81.4286222,"Commodity Circle, 32809, Florida, United States"
28.5531429,-81.375199,"East Colonial Drive, 32801, Orlando, Florida, United States"
28.6038925,-81.3110155,"Aloma Executive Center, Aloma Avenue, 32792, Aloma Avenue, Winter Park, FL, United States"
28.5644698,-81.741917,"235, Citrus Tower Boulevard, 32711, Citrus Tower Boulevard, Clermont, Florida, United States"
29.1525193,-81.0178801,"2841, South Nova Road, 32119, South Nova Road, South Daytona, FL, United States"
28.570554,-81.2088,"Rhode Island Street, 32826, Alafaya, Florida, United States"
28.755508,-81.3373416,"Middle Street, 32746, Lake Mary, Florida, United States"
28.5932159,-81.3595971,"771, West Fairbanks Avenue, 32789, West Fairbanks Avenue, Winter Park, FL, United States"
28.5525527,-81.5083802,"West Colonial Drive, 34734, Ocoee, Florida, United States"
28.4677752,-81.3085794,"Vista Nails & Spa, 32812, Orlando, Florida, United States"
28.5510433,-81.3103922,"Hewett Drive, 32807, Winter Park, Florida, United States"
28.8178432,-81.7669773,"11433, West Burleigh Boulevard, 34788, West Burleigh Boulevard, Tavares, Florida, United States"
28.4411569,-81.4281559,"Futures Drive, 32809, Florida, United States"
28.9612775,-81.9690872,"Wholesale Computer Technicians, 17860, SE 109th Ave #625, 34491, SE 109th Ave #625, Summerfield, FL, United States"
29.924556,-81.3270271,"China Wok, 3501, North Ponce de Leon Boulevard, 32084, North Ponce de Leon Boulevard, Saint Augustine, FL, United States"
30.2193891,-81.6093696,"4221, Baymeadows Road, 32217, Baymeadows Road, Jacksonville, FL, United States"
30.2702543,-81.5582287,"4225, Southside Boulevard, 32216, Southside Boulevard, Jacksonville, FL, United States"
30.2191904,-81.5864387,"8206, Philips Highway, 32256, Philips Highway, Jacksonville, FL, United States"
30.1944642,-81.5668943,"Philip Sushi, Philips Highway, 32255, Philips Highway, Jacksonville, FL, United States"
30.1198277,-81.6239727,"Walmart Neighborhood Market, 445, State Road 13, 32259, State Road 13, St Johns, FL, United States"
27.2585185,-82.5172715,"Gulf Gate Drive, 34231, Florida, United States"
27.3093006,-82.4969754,"Webber Street, 34239, Florida, United States"
27.0898523,-82.4434329,"614, Guild Drive, 34285, Guild Drive, Venice, FL, United States"
26.21185,-81.7775858,"Speedway, 2055, Pine Ridge Road, 34109, Pine Ridge Road, Naples, FL, United States"
26.1168334,-81.7550945,"Mangrove Outfitters, 4111, Tamiami Trail, 34112, Tamiami Trail, Naples, FL, United States"
27.099553,-82.445811,"West Venice Avenue, 34285, Venice, Florida, United States"
26.5644427,-82.0071327,"Almost Home Real Estate Services, 4706, South Chiquita Boulevard, 33914, South Chiquita Boulevard, Cape Coral, FL, United States"
27.0157195,-82.0535792,"Quest Diagnostics, 24123, Peachland Boulevard, 33980, Peachland Boulevard, Port Charlotte, FL, United States"
27.2222429,-82.4923442,"South Tamiami Trail, 34299, Florida, United States"
27.9767744,-81.649017,"Walmart Supercenter, 7450, Cypress Gardens Boulevard, 33884, Cypress Gardens Boulevard, Winter Haven, FL, United States"
27.9521348,-82.7755291,"A&B Battery, South Highland Avenue, 33756, South Highland Avenue, Clearwater, FL, United States"
27.9603423,-82.7603551,"Gulf to Bay Boulevard, 33755, Clearwater, Florida, United States"
27.9616455,-82.7946808,"Court Street, 33756, Clearwater, Florida, United States"
27.8776592,-82.7868076,"106th Street, 33773, Clearwater, Florida, United States"
27.915792,-82.7110678,"Avalon Avenue & Roosevelt Boulevard, Avalon Avenue, 33760, Avalon Avenue, South Highpoint, Florida, United States"
27.839502,-82.7269378,"Ginsmore Plaza, Park Boulevard, 33781, Park Boulevard, Pinellas Park, FL, United States"
27.960224,-82.7218795,"La Belle Hair Salon, 2783, Gulf to Bay Boulevard, 33759, Gulf to Bay Boulevard, Clearwater, FL, United States"
27.8389257,-82.6969027,"Subway, Park Boulevard, 33781, Park Boulevard, Pinellas Park, Florida, United States"
27.8015789,-82.7003776,"49th Street North & 33rd Avenue North, 49th Street, 33782, 49th Street, Saint Petersburg, FL, United States"
28.010542,-81.9246863,"East Edgewood Drive, 33803, Lakeland, Florida, United States"
27.9417952,-82.5052643,"Southtown, 310, South Dale Mabry Highway, 33609, South Dale Mabry Highway, Tampa, FL, United States"
27.9641374,-82.5192191,"Apple Store, 2223, International Plaza, 33607, International Plaza, Tampa, FL, United States"
28.0155144,-81.9574435,"Peking House, Florida Avenue South, 33803, Florida Avenue South, Lakeland, FL, United States"
28.0541469,-82.5820017,"Citrus Palm Drive, 33625, Citrus Park, Florida, United States"
28.0175108,-82.5054505,"North Dale Mabry Highway, 33618, Egypt Lake-Leto, Florida, United States"
28.0090885,-82.5634279,"Wilshire Court, 33615, Florida, United States"
28.0738128,-82.5061101,"Body Work Massage Therapy, N Dale Mabry Highway, 33618, N Dale Mabry Highway, FL, United States"
28.0442054,-82.5054808,"Dinner Done!, 10330, North Dale Mabry Highway, 33618, North Dale Mabry Highway, Tampa, FL, United States"
28.2135892,-82.3555346,"Flat Iron Loop, 33544, Seven Oaks, Florida, United States"
28.1795398,-82.320172,"County Line Road, 33543, Florida, United States"
28.1693636,-82.3552358,"Winn-Dixie, 6425, County Line Road, 33645, County Line Road, Tampa, FL, United States"
28.0091383,-81.9226082,"Swann Brewing, 2972, Lakeland Highlands Road, 33813, Lakeland Highlands Road, Lakeland, Florida, United States"
27.9450438,-82.5010143,"Happy Foot Spa, 3636, West Kennedy Boulevard, 33609, West Kennedy Boulevard, Tampa, FL, United States"
27.9246259,-82.2851702,"South Parsons Avenue, 33511, Brandon, Florida, United States"
28.0454296,-82.3942542,"Cora Rehabilitation Clinic, North 56th Street, 33617, North 56th Street, Temple Terrace, Florida, United States"
26.5955409,-81.8868144,"Forever Fiore, 1400, Colonial Boulevard, 33907, Colonial Boulevard, Fort Myers, FL, United States"
26.2106029,-81.7988747,"Pelican Place, Naples, Florida, United States"
26.5979647,-81.8633956,"Starbucks, Colonial Boulevard, 33907, Colonial Boulevard, Fort Myers, Florida, United States"
26.5733546,-81.8709018,"Days Inn by Wyndham Fort Myers, 11435, South Cleveland Avenue, 33907, South Cleveland Avenue, Fort Myers, FL, United States"
26.4917019,-81.9730835,"Publix, 20321, Summerlin Road, 33908-3706, Summerlin Road, Fort Myers, FL, United States"
27.275295,-80.3557332,"Winn-Dixie, 281, Southwest Port Saint Lucie Boulevard, 34984, Southwest Port Saint Lucie Boulevard, Port Saint Lucie, FL, United States"
26.2104795,-81.8013232,"Myrtle Terrace, 34103, Naples, Florida, United States"
26.2131229,-81.7484566,"US Prime Realty LLC, 3443, Pine Ridge Road, 34109, Pine Ridge Road, Naples, FL, United States"
26.1331062,-81.7759892,"Washington Avenue, 34112, East Naples, Florida, United States"
26.29304,-81.8011758,"13500, Tamiami Trail N, 34110, Tamiami Trail N, Naples, FL, United States"
26.4670321,-80.133372,"10x Living Delray, Florida, United States"
26.441094,-80.0692927,"Sport Clips, Banyan Tree Lane, 33483, Banyan Tree Lane, Delray Beach, Florida, United States"
26.4558756,-80.1375285,"West Atlantic Avenue, 33444, Florida, United States"
26.4572263,-80.1252389,"Firestone, 51st Terrace South, 33484, 51st Terrace South, Delray Beach, Florida, United States"
26.5265291,-80.1220691,"Applegate Plaza, Florida, United States"
26.5282368,-80.0871027,"El Atico, West Boynton Beach Boulevard, 33435, West Boynton Beach Boulevard, Boynton Beach, FL, United States"
26.6461249,-80.2077518,"Paragon Wellington 10, West Forest Hill Boulevard, 33449, West Forest Hill Boulevard, FL, United States"
26.8102078,-80.1984913,"Ibis Cleaners & Tailors, 10130, Northlake Boulevard, 33412, Northlake Boulevard, West Palm Beach, FL, United States"
26.6461151,-80.2089285,"The Mall at Wellington Green, 10300, W Forest Hill Boulevard, 33414, W Forest Hill Boulevard, Wellington, Florida, United States"
26.5715429,-80.0909976,"Hypoluxo Road, 33462, Boynton Beach, Florida, United States"
26.5881688,-80.1154213,"Lantana Road, 33467, Florida, United States"
26.6252291,-80.0893086,"L-11, 33461, United States"
26.6167502,-80.1620133,"Lucerne Lakes Boulevard North, 33467, Florida, United States"
26.6671738,-80.0550204,"Oasis Salon & Spa, 5100, South Dixie Highway, 33405, South Dixie Highway, West Palm Beach, FL, United States"
26.7165547,-80.1116039,"Dollar General, Alberta Avenue, 33417, Alberta Avenue, Florida, United States"
26.8436073,-80.0727654,"2506, PGA Boulevard, 33410, PGA Boulevard, Palm Beach Gardens, FL, United States"
26.7147449,-80.1511168,"Jog Road, 33417, Florida, United States"
26.7105154,-80.1510272,"Leslie's Pool Supplies, Jog Road, 33417, Jog Road, West Palm Beach, FL, United States"
26.7068696,-80.1347241,"Okeechobee Boulevard, 33417, Florida, United States"
26.6458629,-80.144701,"Purdy Lane, 33413, Greenacres, Florida, United States"
26.6508535,-80.0974803,"Richard Lane, 33406, Palm Springs, Florida, United States"
26.8081969,-80.1031539,"Northlake Boulevard, 33418, Palm Beach Gardens, Florida, United States"
26.1600128,-80.1466199,"Northeast 26th Court, 33334, Wilton Manors, Florida, United States"
26.4021817,-80.07665,"The Duck, Jeffery Street, 33487, Jeffery Street, Boca Raton, Florida, United States"
26.2314978,-80.1109451,"East Atlantic Boulevard, 33062, Pompano Beach, Florida, United States"
26.2312149,-80.1145799,"East Atlantic Boulevard, 33062, Pompano Beach, Florida, United States"
26.316994,-80.091387,"Sprint, Southeast 9th Terrace, 33441, Southeast 9th Terrace, Deerfield Beach, Florida, United States"
25.8842429,-80.1657047,"11730, Biscayne Boulevard, 33181, Biscayne Boulevard, Miami, FL, United States"
26.313506,-80.0840909,"Southeast 3rd Court, 33441, Deerfield Beach, Florida, United States"
26.2338166,-80.1939794,"7-Eleven, Banks Road, 33066, Banks Road, Margate, Florida, United States"
26.2453378,-80.1919174,"Coconut Creek Parkway, 33066, Coconut Creek, Florida, United States"
26.3864128,-80.0759298,"Sport Clips, 625, Northeast Spanish River Boulevard, 33431, Northeast Spanish River Boulevard, Boca Raton, FL, United States"
26.319815,-80.1528718,"North Powerline Road, 33442, Deerfield Beach, Florida, United States"
26.2349939,-80.2000623,"Smile At Margate, 5404, West Atlantic Boulevard, 33063, West Atlantic Boulevard, Margate, FL, United States"
26.273028,-80.2622311,"West Sample Road, 33065, Coral Springs, Florida, United States"
26.1913524,-80.2512009,"Staples, North University Drive, 33321, North University Drive, Lauderhill, FL, United States"
26.3171013,-80.1511881,"FedEx Office, West Hillsboro Boulevard, 33073, West Hillsboro Boulevard, Deerfield Beach, Florida, United States"
26.2759981,-80.0962997,"Publix, 3700, North Federal Highway, 33064-6610, North Federal Highway, Lighthouse Point, FL, United States"
26.1691774,-80.3014516,"Mr. Grocers, Northwest 35th Street, 33323, Northwest 35th Street, Sunrise, Florida, United States"
26.2757169,-80.0989942,"East Sample Road, 33064, Pompano Beach, Florida, United States"
26.3174767,-80.1478628,"Efit954, 3310, West Hillsboro Boulevard, 33442, West Hillsboro Boulevard, Deerfield Beach, FL, United States"
26.2411123,-80.2534658,"Big Lots, West Atlantic Boulevard, 33071, West Atlantic Boulevard, Coral Springs, Florida, United States"
26.2552763,-80.09962,"Starbucks, Northeast 18th Street, 33062, Northeast 18th Street, Pompano Beach, Florida, United States"
24.5545284,-81.8020886,"Art On Duval Key West, A Procaccini Gallery, 602, Duval Street, 33040, Duval Street, Key West, FL, United States"
25.6629243,-80.4171884,"11244, Southwest 137th Avenue, 33186, Southwest 137th Avenue, Miami, FL, United States"
26.0454831,-80.2964997,"Walgreens, Southwest 111th Terrace, 33328, Southwest 111th Terrace, Cooper City, Florida, United States"
24.6697916,-81.3463006,"1st Street, 33043, Big Pine Key, Florida, United States"
25.7026881,-80.3692578,"Dollar Tree, 10855, Southwest 72nd Street, 33173, Southwest 72nd Street, Miami, FL, United States"
25.693424,-80.3019195,"8293, South Dixie Highway, 33143, South Dixie Highway, Miami, FL, United States"
25.6581646,-80.4306093,"11735, Southwest 147th Avenue, 33196, Southwest 147th Avenue, Miami, FL, United States"
25.6858575,-80.3838388,"11608, Southwest 88th Street, 33176, Southwest 88th Street, Miami, FL, United States"
26.0063361,-80.3834856,"Southwest 2nd Street, 33029, Pembroke Pines, Florida, United States"
26.1861151,-80.2021142,"West Commercial Boulevard, 33309, Florida, United States"
26.167202,-80.1271344,"Coral Woods, 33329, Oakland Park, Florida, United States"
26.2037663,-80.2515384,"Northwest 64th Street, 33321, Tamarac, Florida, United States"
26.1887228,-80.1236228,"Verizon, Northeast 18th Avenue, 33334, Northeast 18th Avenue, Fort Lauderdale, Florida, United States"
26.0106332,-80.3044226,"Pembroke Lakes Mall, 11401, Pines Boulevard, 33026, Pines Boulevard, Pembroke Pines, FL, United States"
26.026463,-80.3137593,"Sabor Venezolano, N Flamingo Rd, 33028, N Flamingo Rd, Pembroke Pines, FL, United States"
26.018335,-80.248669,"North University Drive, 33024, Pembroke Pines, Florida, United States"
26.0884093,-80.2518233,"South University Drive, 33388, Davie, Florida, United States"
26.06763,-80.2515858,"The Magic Cow, Southwest 78th Drive, 33328, Southwest 78th Drive, Davie, Florida, United States"
26.1192561,-80.2512009,"Relax the Back, North University Drive, 33321, North University Drive, Plantation, Florida, United States"
25.778706,-80.2904591,"GNC, 5757, Northwest 7th Street, 33126, Northwest 7th Street, Miami, FL, United States"
25.7929592,-80.1999507,"1813, Northwest 3rd Avenue, 33136, Northwest 3rd Avenue, Miami, FL, United States"
